A,B,Size,Source,Note,
Aubrey Hruby,Atlantic Council,2,https://www.tofinocap.com/who,,
Aubrey Hruby,Palladium Group,2,https://www.tofinocap.com/who,,
Aubrey Hruby,Tofino Capital,2,https://www.tofinocap.com/who,,
Cosmin Dzsurdzsa,Russia Insider,2,https://en.wikipedia.org/wiki/The_Post_Millennial,,
Cosmin Dzsurdzsa,The Post Millennial,2,https://en.wikipedia.org/wiki/The_Post_Millennial,,
Fairfax Financial Holdings,Waterous Energy Fund,2,https://www.theglobeandmail.com/business/commentary/article-adam-waterous-meg-athabasca-oil-sands-shakeup/,,
Farhan Thawar,Shopify,2,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Peter Thiel,Sullivan & Cromwell,2,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Roger Schagrin,Barry Zekelman,2,https://www.nytimes.com/2019/05/20/us/politics/hes-one-of-the-biggest-backers-of-trumps-push-to-protect-american-steel-and-hes-canadian.html,,
Seymour Schulich,David Stein,2,https://opmwire.com/daniel-debow-shopify-build-canada/,,
The Post Millennial,Human Events,2,https://en.wikipedia.org/wiki/The_Post_Millennial,,
Barry Zekelman,America First Action PAC,2,https://www.nytimes.com/2019/05/20/us/politics/hes-one-of-the-biggest-backers-of-trumps-push-to-protect-american-steel-and-hes-canadian.html,,
Aidan Gomez,FOR.ai,2,https://www.inovia.vc/founders/company-founders/ivan-zhang/,,
Aidan Gomez,Cohere,2,https://en.wikipedia.org/wiki/Cohere,,
Nick Frosst,Cohere,2,https://en.wikipedia.org/wiki/Cohere,,
Joelle Pineau,Cohere,2,https://en.wikipedia.org/wiki/Cohere,,
Martin Kon,Cohere,2,https://en.wikipedia.org/wiki/Cohere,,
Sara Hooker,Cohere,2,https://en.wikipedia.org/wiki/Cohere,,
Francois Chadwick,Cohere,2,https://en.wikipedia.org/wiki/Cohere,,
Kaz Nejatian,Juno News (Formerly True North),2,https://thetyee.ca/News/2025/04/16/Build-Canada-Not-DOGE-Spokesperson/,,
Kaz Nejatian,Shopify,2,https://thetyee.ca/News/2025/04/16/Build-Canada-Not-DOGE-Spokesperson/,,
Candice Malcolm,Juno News (Formerly True North),2,https://en.wikipedia.org/wiki/True_North_Centre_for_Public_Policy,,
Keean Bexte,Juno News (Formerly True North),2,https://en.wikipedia.org/wiki/True_North_Centre_for_Public_Policy,,
Kaz Nejatian,Jason Kenney,2,https://en.wikipedia.org/wiki/True_North_Centre_for_Public_Policy,,
Kaz Nejatian,Opendoor,2,https://en.wikipedia.org/wiki/True_North_Centre_for_Public_Policy,,
William McBeath,Juno News (Formerly True North),2,https://en.wikipedia.org/wiki/True_North_Centre_for_Public_Policy,,
William McBeath,Canada Strong and Free Network,2,https://en.wikipedia.org/wiki/True_North_Centre_for_Public_Policy,,
Lindsay Shepherd,Juno News (Formerly True North),2,https://en.wikipedia.org/wiki/True_North_Centre_for_Public_Policy,,
Sue Ann Levy,Juno News (Formerly True North),2,https://en.wikipedia.org/wiki/True_North_Centre_for_Public_Policy,,
Harrison Faulkner,Juno News (Formerly True North),2,https://en.wikipedia.org/wiki/True_North_Centre_for_Public_Policy,,
Candice Malcolm,Jason Kenney,2,https://www.desmog.com/2024/10/28/fracking-pioneer-gwyn-morgan-gave-530k-to-anti-climate-website-true-north/,,
Mona Fortier,Liberal Party of Canada,2,https://www.hilltimes.com/story/2021/06/17/hargreaves-exits-as-chief-of-staff-to-associate-finance-minister-fortier/280501/,,
Jason Kenney,United Conservative Party,2,https://en.wikipedia.org/wiki/Jason_Kenney,,
Elon Musk,Zip2,2,https://en.wikipedia.org/wiki/Michael_Serbinis,,
Jason Kenney,Conservative Party of Canada,2,https://en.wikipedia.org/wiki/Jason_Kenney,,
Jason Kenney,ATCO,2,https://en.wikipedia.org/wiki/Jason_Kenney,,
Matthew Conway,Conway Directions,2,,,
Harrison Faulkner,Juno News (Formerly True North),2,,,
Gavin McGinnes,Juno News (Formerly True North),2,,,
Candice Malcolm,Kaz Nejatian,2,,,
Harrison Faulkner,Diagalon,2,,,
Harrison Faulkner,Ryerson Conservatives,2,https://www.antihate.school/canada_first_on_campus_friendly_ties_between_conservative_student_group_and_white_supremacists,,
Tyler Russell,Canada First,2,https://www.antihate.school/canada_first_on_campus_friendly_ties_between_conservative_student_group_and_white_supremacists,,
Tyler Russell,Ryerson Conservatives,2,https://www.antihate.school/canada_first_on_campus_friendly_ties_between_conservative_student_group_and_white_supremacists,,
Andrew Lawton,Juno News (Formerly True North),2,https://www.antihate.school/canada_first_on_campus_friendly_ties_between_conservative_student_group_and_white_supremacists,,
Tyler Russell,Plaid Army,2,https://www.antihate.ca/canada_first_exposed_tyler_russell,,
Dave Russell,Tyler Russell,2,https://www.antihate.ca/canada_first_exposed_tyler_russell,,
Shani Russell,Tyler Russell,2,https://www.antihate.ca/canada_first_exposed_tyler_russell,,
Shani Russell,Dave Russell,2,https://www.antihate.ca/canada_first_exposed_tyler_russell,,
Dave Russell,Plaid Army,2,https://www.antihate.ca/canada_first_exposed_tyler_russell,,
Gwyn Morgan,Juno News (Formerly True North),2,https://www.desmog.com/2024/10/28/fracking-pioneer-gwyn-morgan-gave-530k-to-anti-climate-website-true-north/,,
Candice Malcolm,Wildrose Party,2,https://www.desmog.com/2024/10/28/fracking-pioneer-gwyn-morgan-gave-530k-to-anti-climate-website-true-north/,,
Rachel Parker,Juno News (Formerly True North),2,https://www.desmog.com/2024/10/28/fracking-pioneer-gwyn-morgan-gave-530k-to-anti-climate-website-true-north/,,
Rachel Parker,Danielle Smith,2,https://www.desmog.com/2024/10/28/fracking-pioneer-gwyn-morgan-gave-530k-to-anti-climate-website-true-north/,,
Danielle Smith,Wildrose Party,2,https://www.desmog.com/2024/10/28/fracking-pioneer-gwyn-morgan-gave-530k-to-anti-climate-website-true-north/,,
Danielle Smith,United Conservative Party,2,https://www.desmog.com/2024/10/28/fracking-pioneer-gwyn-morgan-gave-530k-to-anti-climate-website-true-north/,,
David Parker,Rachel Parker,2,https://www.desmog.com/2024/10/28/fracking-pioneer-gwyn-morgan-gave-530k-to-anti-climate-website-true-north/,,
David Parker,Take Back Alberta,2,https://www.desmog.com/2024/10/28/fracking-pioneer-gwyn-morgan-gave-530k-to-anti-climate-website-true-north/,,
Candice Malcolm,Civitas Canada,2,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Civitas Canada,Albany Club,2,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Anthony Furey,Civitas Canada,2,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Brian Lee Crowley,Macdonald Laurier Institute,2,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Brian Lee Crowley,Civitas Canada,2,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Rex Murphy,Civitas Canada,2,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Rex Murphy,National Post,2,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Chris Elston,Civitas Canada,2,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Josh Alexander,Civitas Canada,2,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Josh Alexander,Save Canada,2,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Shelley Crowley,Civitas Canada,2,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Shelley Crowley,Brian Lee Crowley,2,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Liberty Coalition Canada,Save Canada,2,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Tasha Kheiriddin,Civitas Canada,2,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Lucan Way,Civitas Canada,2,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Chanel Pfahl,Civitas Canada,2,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Andrew Lawton,Civitas Canada,2,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Paige Macpherson,Civitas Canada,2,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Paige Macpherson,Fraser Institute,2,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Caylan Ford,Civitas Canada,2,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Harrison Faulkner,Civitas Canada,2,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Rupa Subramanya,Civitas Canada,2,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Matthew Conway,Capital Hill Group,2,https://pressprogress.ca/organizers-of-far-right-rally-targeting-ottawa-schools-attended-secret-meeting-at-torontos-elite-albany-club/,,
Jeff Ballingall,Mobilize Media,2,https://www.cbc.ca/news/politics/poilievre-ballingall-conservative-leadership-canada-proud-1.6433088,,
Mobilize Media,Pierre Poilievre,2,https://www.cbc.ca/news/politics/poilievre-ballingall-conservative-leadership-canada-proud-1.6433088,,
Kaz Nejatian,Conservative Party of Canada,2,https://en.wikipedia.org/wiki/True_North_Centre_for_Public_Policy,,
Candice Malcolm,Conservative Party of Canada,2,,,
Michael Serbinis,Victor Institute,2,,,
